Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.51,-.24,-.30,-.06,-.16,-.18,-.25,-.22,-.31,-.41,-.40,-.28,***,***,-.20,-.20,-.31
1881,-.31,-.22,-.04,.00,.04,-.34,.08,-.05,-.28,-.45,-.37,-.23,-.18,-.20,-.31,.00,-.10,-.36
1882,.26,.21,.02,-.32,-.24,-.30,-.28,-.14,-.23,-.52,-.32,-.67,-.21,-.17,.08,-.18,-.24,-.36
1883,-.57,-.66,-.15,-.29,-.24,-.13,-.04,-.22,-.32,-.16,-.42,-.15,-.28,-.32,-.63,-.23,-.13,-.30
1884,-.16,-.09,-.63,-.60,-.36,-.43,-.40,-.50,-.45,-.44,-.57,-.46,-.42,-.40,-.13,-.53,-.44,-.49
1885,-1.00,-.46,-.24,-.49,-.58,-.45,-.34,-.41,-.40,-.37,-.38,-.12,-.44,-.47,-.64,-.44,-.40,-.38
1886,-.75,-.84,-.71,-.37,-.33,-.37,-.14,-.43,-.33,-.31,-.40,-.21,-.43,-.43,-.57,-.47,-.31,-.35
1887,-1.08,-.70,-.44,-.39,-.26,-.21,-.25,-.55,-.21,-.49,-.27,-.42,-.44,-.42,-.67,-.36,-.34,-.32
1888,-.48,-.61,-.64,-.22,-.15,-.03,.00,-.21,-.19,-.03,-.01,-.23,-.23,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.06,-.08,-.20,-.30,-.41,-.62,-.55,-.17,-.15,-.07,.04,-.12,-.44
1890,-.64,-.58,-.48,-.25,-.36,-.16,-.23,-.39,-.35,-.10,-.63,-.47,-.39,-.39,-.59,-.36,-.26,-.36
1891,-.46,-.68,-.16,-.35,-.15,-.12,-.11,-.11,-.07,-.27,-.51,-.03,-.25,-.29,-.54,-.22,-.11,-.29
1892,-.47,-.16,-.66,-.45,-.23,-.05,-.37,-.33,-.20,-.27,-.82,-.65,-.39,-.34,-.22,-.45,-.25,-.43
1893,-1.50,-.94,-.32,-.29,-.42,-.17,-.13,-.33,-.29,-.28,-.33,-.61,-.47,-.47,-1.03,-.35,-.21,-.30
1894,-.91,-.42,-.21,-.53,-.26,-.40,-.21,-.27,-.33,-.27,-.48,-.35,-.39,-.41,-.65,-.33,-.29,-.36
1895,-.70,-.80,-.50,-.18,-.30,-.20,-.18,-.27,-.05,-.09,-.12,-.22,-.30,-.31,-.62,-.32,-.22,-.09
1896,-.35,-.17,-.48,-.60,-.16,.08,.01,-.10,-.11,.06,-.19,-.20,-.19,-.19,-.25,-.41,.00,-.08
